Feature_Name,Feature_Name_CN,Target,Diameter,Center_Latitude,Center_Longitude,Coordinate_System,Approval_Status,Approval_Status_CN,Approval_Date,Origin,Origin_CN
Bjerknes E,Bjerknes E,Moon,53.45,-38.26,115.61,Planetographic  +East  -180 - 180,Approved,已批准,2006,Vilhelm Friman Koren; Norwegian physicist (1862-1951).,Vilhelm Friman Koren;挪威物理学家（1862-1951）。
Black,黑色,Moon,19.46,-9.2,80.39,Planetographic  +East  -180 - 180,Approved,已批准,1976,Joseph; French chemist (1728-1799).,约瑟夫;法国化学家（1728-1799）。
Blackett,布莱克特,Moon,145.31,-37.55,-115.84,Planetographic  +East  -180 - 180,Approved,已批准,1979,Patrick Maynard Stuart; British physicist; Nobel laureate (1897-1974).,帕特里克·梅纳德·斯图尔特（Patrick Maynard Stuart）；英国物理学家；诺贝尔奖获得者（1897-1974）。
Blackett N,布莱克特N,Moon,26.1,-40.09,-116.21,Planetographic  +East  -180 - 180,Approved,已批准,2006,Patrick Maynard Stuart; British physicist; Nobel laureate (1897-1974).,帕特里克·梅纳德·斯图尔特（Patrick Maynard Stuart）；英国物理学家；诺贝尔奖获得者（1897-1974）。
Blagg,大刀,Moon,4.97,1.22,1.46,Planetographic  +East  -180 - 180,Approved,已批准,1935,Mary Adela; British astronomer (1858-1944).,玛丽·阿德拉（Mary Adela）；英国天文学家（1858-1944）。
Blancanus,布兰卡努斯,Moon,105.82,-63.77,-21.63,Planetographic  +East  -180 - 180,Approved,已批准,1935,"Biancani, Giuseppe; Italian mathematician, astronomer (1566-1624).",朱塞佩（Giuseppe）比安卡尼（Biancani）；意大利数学家，天文学家（1566-1624）。
Blancanus A,布兰卡努斯A,Moon,6.49,-64.72,-22.15,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Biancani, Giuseppe; Italian mathematician, astronomer (1566-1624).",朱塞佩（Giuseppe）比安卡尼（Biancani）；意大利数学家，天文学家（1566-1624）。
Blancanus C,布兰卡努斯C,Moon,44.16,-66.6,-28.22,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Biancani, Giuseppe; Italian mathematician, astronomer (1566-1624).",朱塞佩（Giuseppe）比安卡尼（Biancani）；意大利数学家，天文学家（1566-1624）。
Blancanus D,布兰科努斯D,Moon,23.2,-63.22,-16.65,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Biancani, Giuseppe; Italian mathematician, astronomer (1566-1624).",朱塞佩（Giuseppe）比安卡尼（Biancani）；意大利数学家，天文学家（1566-1624）。
Blancanus E,布兰卡努斯E,Moon,31.26,-66.68,-21.83,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Biancani, Giuseppe; Italian mathematician, astronomer (1566-1624).",朱塞佩（Giuseppe）比安卡尼（Biancani）；意大利数学家，天文学家（1566-1624）。
Blancanus F,布兰卡努斯F,Moon,8.82,-65.19,-27.5,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Biancani, Giuseppe; Italian mathematician, astronomer (1566-1624).",朱塞佩（Giuseppe）比安卡尼（Biancani）；意大利数学家，天文学家（1566-1624）。
Blancanus G,布兰卡努斯G,Moon,9.33,-63.13,-25.19,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Biancani, Giuseppe; Italian mathematician, astronomer (1566-1624).",朱塞佩（Giuseppe）比安卡尼（Biancani）；意大利数学家，天文学家（1566-1624）。
Blancanus H,布兰卡努斯H,Moon,6.96,-65.61,-23.59,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Biancani, Giuseppe; Italian mathematician, astronomer (1566-1624).",朱塞佩（Giuseppe）比安卡尼（Biancani）；意大利数学家，天文学家（1566-1624）。
Blancanus K,布兰卡努斯K,Moon,10.87,-60.53,-23.36,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Biancani, Giuseppe; Italian mathematician, astronomer (1566-1624).",朱塞佩（Giuseppe）比安卡尼（Biancani）；意大利数学家，天文学家（1566-1624）。
Blancanus N,布兰卡努斯N,Moon,9.93,-63.26,-25.86,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Biancani, Giuseppe; Italian mathematician, astronomer (1566-1624).",朱塞佩（Giuseppe）比安卡尼（Biancani）；意大利数学家，天文学家（1566-1624）。
Blancanus V,布兰卡努斯五世,Moon,6.73,-64.34,-21.43,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Biancani, Giuseppe; Italian mathematician, astronomer (1566-1624).",朱塞佩（Giuseppe）比安卡尼（Biancani）；意大利数学家，天文学家（1566-1624）。
Blancanus W,Blancanus W.,Moon,8.49,-60.96,-20.33,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Biancani, Giuseppe; Italian mathematician, astronomer (1566-1624).",朱塞佩（Giuseppe）比安卡尼（Biancani）；意大利数学家，天文学家（1566-1624）。
Blanchard,布兰查德,Moon,37.46,-58.25,-93.5,Planetographic  +East  -180 - 180,Approved,已批准,1991,Jean-Pierre-François; French aeronaut (1753-1809).,让·皮埃尔·弗朗索瓦；法国宇航员（1753-1809）。
Blanchinus,Blanchinus,Moon,59.9,-25.32,2.44,Planetographic  +East  -180 - 180,Approved,已批准,1935,"Bianchini, Giovanni; Italian astronomer (unkn-fl. 1458).",乔瓦尼（Giovanni）比安基尼（Bianchini）；意大利天文学家（unkn-fl。1458）。
Blanchinus B,Blanchinus B,Moon,7.22,-25.23,1.55,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Bianchini, Giovanni; Italian astronomer (unkn-fl. 1458).",乔瓦尼（Giovanni）比安基尼（Bianchini）；意大利天文学家（unkn-fl。1458）。
Blanchinus D,Blanchinus D,Moon,6.9,-25.03,4.17,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Bianchini, Giovanni; Italian astronomer (unkn-fl. 1458).",乔瓦尼（Giovanni）比安基尼（Bianchini）；意大利天文学家（unkn-fl。1458）。
Blanchinus K,Blancinus K,Moon,8.31,-24.81,4.99,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Bianchini, Giovanni; Italian astronomer (unkn-fl. 1458).",乔瓦尼（Giovanni）比安基尼（Bianchini）；意大利天文学家（unkn-fl。1458）。
Blanchinus M,Blanchinus M,Moon,4.11,-25.22,2.58,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Bianchini, Giovanni; Italian astronomer (unkn-fl. 1458).",乔瓦尼（Giovanni）比安基尼（Bianchini）；意大利天文学家（unkn-fl。1458）。
Blazhko,有福,Moon,51.11,31.37,-147.86,Planetographic  +East  -180 - 180,Approved,已批准,1970,Sergei Nikolaevich; Soviet astronomer (1870-1956).,谢尔盖·尼古拉耶维奇（Sergei Nikolaevich）苏联天文学家（1870-1956）。
Blazhko D,布拉日科D,Moon,40.2,32.79,-145.45,Planetographic  +East  -180 - 180,Approved,已批准,2006,Sergei Nikolaevich; Soviet astronomer (1870-1956).,谢尔盖·尼古拉耶维奇（Sergei Nikolaevich）苏联天文学家（1870-1956）。
Blazhko F,布拉日科F,Moon,33.34,31.2,-146.39,Planetographic  +East  -180 - 180,Approved,已批准,2006,Sergei Nikolaevich; Soviet astronomer (1870-1956).,谢尔盖·尼古拉耶维奇（Sergei Nikolaevich）苏联天文学家（1870-1956）。
Blazhko L,布拉日科,Moon,44,29.15,-147.39,Planetographic  +East  -180 - 180,Approved,已批准,2006,Sergei Nikolaevich; Soviet astronomer (1870-1956).,谢尔盖·尼古拉耶维奇（Sergei Nikolaevich）苏联天文学家（1870-1956）。
Blazhko R,布拉日科河,Moon,53.98,29.82,-150.01,Planetographic  +East  -180 - 180,Approved,已批准,2006,Sergei Nikolaevich; Soviet astronomer (1870-1956).,谢尔盖·尼古拉耶维奇（Sergei Nikolaevich）苏联天文学家（1870-1956）。
Bliss,极乐,Moon,22.85,53.04,-13.78,Planetographic  +East  -180 - 180,Approved,已批准,2000,Nathaniel; English Astronomer Royal (1700-1764).,纳撒尼尔英国皇家天文学家（1700-1764）。
Block,块,Moon,0.01,-3.01,-23.42,Planetographic  +East  -180 - 180,Approved,已批准,1973,"Astronaut-named feature, Apollo 12 site.",宇航员命名的功能，阿波罗12号站点。
Bobillier,博比利耶,Moon,6.04,19.63,15.44,Planetographic  +East  -180 - 180,Approved,已批准,1976,Étienne; French geometer (1798-1840).,Étienne;法国几何学家（1798-1840）。
Bobone,Bobone,Moon,32.14,26.7,-132.12,Planetographic  +East  -180 - 180,Approved,已批准,1970,Jorge; Argentinean astronomer (1901-1958).,乔治;阿根廷天文学家（1901-1958）。
Bode,bode,Moon,17.8,6.71,-2.45,Planetographic  +East  -180 - 180,Approved,已批准,1935,Johann Elert; German astronomer (1747-1826).,约翰·埃勒特（Johann Elert）；德国天文学家（1747-1826）。
Bode A,伯德A,Moon,12.15,9,-1.18,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Elert; German astronomer (1747-1826).,约翰·埃勒特（Johann Elert）；德国天文学家（1747-1826）。
Bode B,伯德B,Moon,9.76,8.74,-3.08,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Elert; German astronomer (1747-1826).,约翰·埃勒特（Johann Elert）；德国天文学家（1747-1826）。
Bode C,先驱C,Moon,7.05,12.23,-4.77,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Elert; German astronomer (1747-1826).,约翰·埃勒特（Johann Elert）；德国天文学家（1747-1826）。
Bode D,博德D,Moon,3.39,7.27,-3.32,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Elert; German astronomer (1747-1826).,约翰·埃勒特（Johann Elert）；德国天文学家（1747-1826）。
Bode E,先驱E,Moon,6.45,12.42,-3.45,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Elert; German astronomer (1747-1826).,约翰·埃勒特（Johann Elert）；德国天文学家（1747-1826）。
Bode G,先驱G,Moon,4.21,6.34,-3.56,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Elert; German astronomer (1747-1826).,约翰·埃勒特（Johann Elert）；德国天文学家（1747-1826）。
Bode H,博德·H,Moon,4.1,12.21,-6.53,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Elert; German astronomer (1747-1826).,约翰·埃勒特（Johann Elert）；德国天文学家（1747-1826）。
Bode K,博德·K。,Moon,5.6,9.3,-2.28,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Elert; German astronomer (1747-1826).,约翰·埃勒特（Johann Elert）；德国天文学家（1747-1826）。
Bode L,博德·L。,Moon,4.32,5.62,-3.81,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Elert; German astronomer (1747-1826).,约翰·埃勒特（Johann Elert）；德国天文学家（1747-1826）。
Bode N,博德N,Moon,6.29,10.97,-3.88,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Elert; German astronomer (1747-1826).,约翰·埃勒特（Johann Elert）；德国天文学家（1747-1826）。
Boethius,哲学,Moon,11.17,5.57,72.33,Planetographic  +East  -180 - 180,Approved,已批准,1976,Anicius Manlius Severinus; Roman scholar(c. A.D. 470-524).,安慰;罗马学者（约公元470-524年）。
Boguslawsky,博古斯拉夫斯基,Moon,94.59,-72.9,43.26,Planetographic  +East  -180 - 180,Approved,已批准,1935,Palm Heinrich Ludwig von; German astronomer (1789-1851).,棕榈海因里希·路德维希·冯；德国天文学家（1789-1851）。
Boguslawsky A,Boguslawsky A,Moon,8.19,-74.41,43.57,Planetographic  +East  -180 - 180,Approved,已批准,2006,Palm Heinrich Ludwig von; German astronomer (1789-1851).,棕榈海因里希·路德维希·冯；德国天文学家（1789-1851）。
Boguslawsky B,Boguslawsky B,Moon,63.47,-73.98,61.12,Planetographic  +East  -180 - 180,Approved,已批准,2006,Palm Heinrich Ludwig von; German astronomer (1789-1851).,棕榈海因里希·路德维希·冯；德国天文学家（1789-1851）。
Boguslawsky C,Boguslawsky C,Moon,34.48,-70.99,27.7,Planetographic  +East  -180 - 180,Approved,已批准,2006,Palm Heinrich Ludwig von; German astronomer (1789-1851).,棕榈海因里希·路德维希·冯；德国天文学家（1789-1851）。
Boguslawsky D,Boguslawsky D,Moon,22.4,-72.86,47.41,Planetographic  +East  -180 - 180,Approved,已批准,2006,Palm Heinrich Ludwig von; German astronomer (1789-1851).,棕榈海因里希·路德维希·冯；德国天文学家（1789-1851）。
Boguslawsky E,博古斯拉夫斯基E,Moon,14.61,-74.31,54.33,Planetographic  +East  -180 - 180,Approved,已批准,2006,Palm Heinrich Ludwig von; German astronomer (1789-1851).,棕榈海因里希·路德维希·冯；德国天文学家（1789-1851）。
Boguslawsky F,Boguslawsky F,Moon,31.05,-75.42,52.97,Planetographic  +East  -180 - 180,Approved,已批准,2006,Palm Heinrich Ludwig von; German astronomer (1789-1851).,棕榈海因里希·路德维希·冯；德国天文学家（1789-1851）。
Boguslawsky G,博古斯拉夫斯基G,Moon,20.46,-71.48,34.35,Planetographic  +East  -180 - 180,Approved,已批准,2006,Palm Heinrich Ludwig von; German astronomer (1789-1851).,棕榈海因里希·路德维希·冯；德国天文学家（1789-1851）。
Boguslawsky H,Boguslawsky H,Moon,21.13,-72.82,29.06,Planetographic  +East  -180 - 180,Approved,已批准,2006,Palm Heinrich Ludwig von; German astronomer (1789-1851).,棕榈海因里希·路德维希·冯；德国天文学家（1789-1851）。
Boguslawsky J,Boguslawsky J,Moon,34.73,-72.09,28.4,Planetographic  +East  -180 - 180,Approved,已批准,2006,Palm Heinrich Ludwig von; German astronomer (1789-1851).,棕榈海因里希·路德维希·冯；德国天文学家（1789-1851）。
Boguslawsky K,博古斯拉夫斯基K,Moon,46.43,-73.47,50.35,Planetographic  +East  -180 - 180,Approved,已批准,2006,Palm Heinrich Ludwig von; German astronomer (1789-1851).,棕榈海因里希·路德维希·冯；德国天文学家（1789-1851）。
Boguslawsky L,Boguslawsky L,Moon,21.93,-70.68,36.47,Planetographic  +East  -180 - 180,Approved,已批准,2006,Palm Heinrich Ludwig von; German astronomer (1789-1851).,棕榈海因里希·路德维希·冯；德国天文学家（1789-1851）。
Boguslawsky M,Boguslawsky M,Moon,8.09,-70.45,34.84,Planetographic  +East  -180 - 180,Approved,已批准,2006,Palm Heinrich Ludwig von; German astronomer (1789-1851).,棕榈海因里希·路德维希·冯；德国天文学家（1789-1851）。
Boguslawsky N,Boguslawsky N,Moon,27.45,-73.86,32.88,Planetographic  +East  -180 - 180,Approved,已批准,2006,Palm Heinrich Ludwig von; German astronomer (1789-1851).,棕榈海因里希·路德维希·冯；德国天文学家（1789-1851）。
Bohnenberger,博嫩伯格,Moon,31.74,-16.24,40.06,Planetographic  +East  -180 - 180,Approved,已批准,1935,Johann Gottlieb Friedrich Von; German astronomer (1765-1831).,约翰·哥特利布·弗里德里希·冯（Johann Gottlieb Friedrich Von）；德国天文学家（1765-1831）。
Bohnenberger A,Bohnenberger A,Moon,31.11,-17.82,40.17,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Gottlieb Friedrich Von; German astronomer (1765-1831).,约翰·哥特利布·弗里德里希·冯（Johann Gottlieb Friedrich Von）；德国天文学家（1765-1831）。
Bohnenberger C,Bohnenberger C,Moon,14.11,-18.67,41.1,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Gottlieb Friedrich Von; German astronomer (1765-1831).,约翰·哥特利布·弗里德里希·冯（Johann Gottlieb Friedrich Von）；德国天文学家（1765-1831）。
Bohnenberger D,博纳伯格D,Moon,13.4,-18.39,42.63,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Gottlieb Friedrich Von; German astronomer (1765-1831).,约翰·哥特利布·弗里德里希·冯（Johann Gottlieb Friedrich Von）；德国天文学家（1765-1831）。
Bohnenberger E,Bohnenberger E,Moon,11.86,-17.41,42.07,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Gottlieb Friedrich Von; German astronomer (1765-1831).,约翰·哥特利布·弗里德里希·冯（Johann Gottlieb Friedrich Von）；德国天文学家（1765-1831）。
Bohnenberger F,Bohnenberger F,Moon,9.34,-14.71,39.68,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Gottlieb Friedrich Von; German astronomer (1765-1831).,约翰·哥特利布·弗里德里希·冯（Johann Gottlieb Friedrich Von）；德国天文学家（1765-1831）。
Bohnenberger G,Bohnenberger G,Moon,11.77,-17.23,40.13,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Gottlieb Friedrich Von; German astronomer (1765-1831).,约翰·哥特利布·弗里德里希·冯（Johann Gottlieb Friedrich Von）；德国天文学家（1765-1831）。
Bohnenberger J,博纳伯格,Moon,4.45,-14.9,40.39,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Gottlieb Friedrich Von; German astronomer (1765-1831).,约翰·哥特利布·弗里德里希·冯（Johann Gottlieb Friedrich Von）；德国天文学家（1765-1831）。
Bohnenberger N,Bohnenberger N,Moon,5.73,-17.95,41.89,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Gottlieb Friedrich Von; German astronomer (1765-1831).,约翰·哥特利布·弗里德里希·冯（Johann Gottlieb Friedrich Von）；德国天文学家（1765-1831）。
Bohnenberger P,博纳伯格,Moon,10.75,-19.25,41.47,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Gottlieb Friedrich Von; German astronomer (1765-1831).,约翰·哥特利布·弗里德里希·冯（Johann Gottlieb Friedrich Von）；德国天文学家（1765-1831）。
Bohnenberger W,Bohnenberger W,Moon,10.56,-18.25,41.1,Planetographic  +East  -180 - 180,Approved,已批准,2006,Johann Gottlieb Friedrich Von; German astronomer (1765-1831).,约翰·哥特利布·弗里德里希·冯（Johann Gottlieb Friedrich Von）；德国天文学家（1765-1831）。
Bohr,玻尔,Moon,70.07,12.71,-86.52,Planetographic  +East  -180 - 180,Approved,已批准,1964,Niels Henrik David; Danish physicist; Nobel laureate (1885-1962).,Niels Henrik David；丹麦物理学家；诺贝尔奖获得者（1885-1962）。
Bok,书,Moon,43.03,-20.26,-171.58,Planetographic  +East  -180 - 180,Approved,已批准,1979,"Priscilla Fairfield; American astronomer (1896-1975), Bart Jan; Dutch-American astronomer (1906-1983).",普里西拉·费尔菲尔德（Priscilla Fairfield）;美国天文学家（1896-1975），巴特·扬（Bart Jan）；荷美天文学家（1906-1983）。
Bok C,嗨C,Moon,23.54,-19.07,-170.25,Planetographic  +East  -180 - 180,Approved,已批准,2006,"Priscilla Fairfield; American astronomer (1896-1975), Bart Jan; Dutch-American astronomer (1906-1983).",普里西拉·费尔菲尔德（Priscilla Fairfield）;美国天文学家（1896-1975），巴特·扬（Bart Jan）；荷美天文学家（1906-1983）。
Boltzmann,玻尔兹曼,Moon,72.31,-74.82,-90.41,Planetographic  +East  -180 - 180,Approved,已批准,1964,Ludwig Eduard; Austrian physicist (1844-1906).,路德维希·爱德华；奥地利物理学家（1844-1906）。
Bolyai,Bolyai,Moon,102.22,-33.85,126.12,Planetographic  +East  -180 - 180,Approved,已批准,1970,Janos; Hungarian mathematician (1802-1860).,亚诺斯;匈牙利数学家（1802-1860）。
Bolyai D,Bolyai D,Moon,32.15,-32.6,128.45,Planetographic  +East  -180 - 180,Approved,已批准,2006,Janos; Hungarian mathematician (1802-1860).,亚诺斯;匈牙利数学家（1802-1860）。
Bolyai K,Bolyai K,Moon,26.52,-36.66,127.23,Planetographic  +East  -180 - 180,Approved,已批准,2006,Janos; Hungarian mathematician (1802-1860).,亚诺斯;匈牙利数学家（1802-1860）。
Bolyai L,Bolyai L,Moon,72.67,-36.48,126.66,Planetographic  +East  -180 - 180,Approved,已批准,2006,Janos; Hungarian mathematician (1802-1860).,亚诺斯;匈牙利数学家（1802-1860）。
Bolyai Q,Bolyai Q,Moon,26.41,-36.29,123.04,Planetographic  +East  -180 - 180,Approved,已批准,2006,Janos; Hungarian mathematician (1802-1860).,亚诺斯;匈牙利数学家（1802-1860）。
Bolyai W,Bolyai W.,Moon,53.03,-32.05,124.42,Planetographic  +East  -180 - 180,Approved,已批准,2006,Janos; Hungarian mathematician (1802-1860).,亚诺斯;匈牙利数学家（1802-1860）。
Bombelli,邦贝利,Moon,9.72,5.28,56.19,Planetographic  +East  -180 - 180,Approved,已批准,1976,Rafael; Italian mathematician (1526-1572).,拉斐尔意大利数学家（1526-1572）。
Bondarenko,邦达连科,Moon,28.26,-17.24,136.89,Planetographic  +East  -180 - 180,Approved,已批准,1991,Valentin Vasilyevich; Soviet student-cosmonaut (1937-1961).,瓦伦丁·瓦西里耶维奇（Valentin Vasilyevich）苏联学生宇航员（1937-1961）。
Bonpland,邦普兰,Moon,59.25,-8.38,-17.33,Planetographic  +East  -180 - 180,Approved,已批准,1935,Aimé-Jacques-Alexandre; French botanist (1773-1858).,艾米·雅克·亚历山大（Aimé-Jacques-Alexandre）法国植物学家（1773-1858）。
Bonpland C,邦普兰C,Moon,4.22,-10.23,-17.5,Planetographic  +East  -180 - 180,Approved,已批准,2006,Aimé-Jacques-Alexandre; French botanist (1773-1858).,艾米·雅克·亚历山大（Aimé-Jacques-Alexandre）法国植物学家（1773-1858）。
Bonpland D,邦普兰D,Moon,5.25,-10.16,-18.28,Planetographic  +East  -180 - 180,Approved,已批准,2006,Aimé-Jacques-Alexandre; French botanist (1773-1858).,艾米·雅克·亚历山大（Aimé-Jacques-Alexandre）法国植物学家（1773-1858）。
Bonpland F,邦普兰F,Moon,4.08,-7.34,-19.37,Planetographic  +East  -180 - 180,Approved,已批准,2006,Aimé-Jacques-Alexandre; French botanist (1773-1858).,艾米·雅克·亚历山大（Aimé-Jacques-Alexandre）法国植物学家（1773-1858）。
Bonpland G,邦普兰G,Moon,3.7,-11.61,-18.81,Planetographic  +East  -180 - 180,Approved,已批准,2006,Aimé-Jacques-Alexandre; French botanist (1773-1858).,艾米·雅克·亚历山大（Aimé-Jacques-Alexandre）法国植物学家（1773-1858）。
Bonpland H,邦普兰,Moon,3.78,-11.37,-19.97,Planetographic  +East  -180 - 180,Approved,已批准,2006,Aimé-Jacques-Alexandre; French botanist (1773-1858).,艾米·雅克·亚历山大（Aimé-Jacques-Alexandre）法国植物学家（1773-1858）。
Bonpland J,邦普兰J,Moon,2.63,-11.39,-20.4,Planetographic  +East  -180 - 180,Approved,已批准,2006,Aimé-Jacques-Alexandre; French botanist (1773-1858).,艾米·雅克·亚历山大（Aimé-Jacques-Alexandre）法国植物学家（1773-1858）。
Bonpland L,邦普兰,Moon,2.84,-7.55,-21.21,Planetographic  +East  -180 - 180,Approved,已批准,2006,Aimé-Jacques-Alexandre; French botanist (1773-1858).,艾米·雅克·亚历山大（Aimé-Jacques-Alexandre）法国植物学家（1773-1858）。
Bonpland N,邦普兰N,Moon,2.31,-9.41,-21.48,Planetographic  +East  -180 - 180,Approved,已批准,2006,Aimé-Jacques-Alexandre; French botanist (1773-1858).,艾米·雅克·亚历山大（Aimé-Jacques-Alexandre）法国植物学家（1773-1858）。
Bonpland P,邦普兰,Moon,1.68,-10.93,-21.56,Planetographic  +East  -180 - 180,Approved,已批准,2006,Aimé-Jacques-Alexandre; French botanist (1773-1858).,艾米·雅克·亚历山大（Aimé-Jacques-Alexandre）法国植物学家（1773-1858）。
Bonpland R,邦普兰河,Moon,2.48,-10.7,-18.62,Planetographic  +East  -180 - 180,Approved,已批准,2006,Aimé-Jacques-Alexandre; French botanist (1773-1858).,艾米·雅克·亚历山大（Aimé-Jacques-Alexandre）法国植物学家（1773-1858）。
Boole,布尔,Moon,61.34,63.79,-87.29,Planetographic  +East  -180 - 180,Approved,已批准,1964,George; British mathematician (1815-1864).,乔治;英国数学家（1815-1864）。
Boole A,布尔A,Moon,55.88,63.42,-80.57,Planetographic  +East  -180 - 180,Approved,已批准,2006,George; British mathematician (1815-1864).,乔治;英国数学家（1815-1864）。
Boole B,布尔B,Moon,8.96,63.6,-77.7,Planetographic  +East  -180 - 180,Approved,已批准,2006,George; British mathematician (1815-1864).,乔治;英国数学家（1815-1864）。
Boole C,布尔C,Moon,17.48,65.37,-82.47,Planetographic  +East  -180 - 180,Approved,已批准,2006,George; British mathematician (1815-1864).,乔治;英国数学家（1815-1864）。
Boole D,布尔D,Moon,10.82,64.01,-83.38,Planetographic  +East  -180 - 180,Approved,已批准,2006,George; British mathematician (1815-1864).,乔治;英国数学家（1815-1864）。
Boole E,布尔E,Moon,15.95,62.84,-84.66,Planetographic  +East  -180 - 180,Approved,已批准,2006,George; British mathematician (1815-1864).,乔治;英国数学家（1815-1864）。
Boole F,布尔F,Moon,33.33,64.1,-79.41,Planetographic  +East  -180 - 180,Approved,已批准,2006,George; British mathematician (1815-1864).,乔治;英国数学家（1815-1864）。
Boole G,布尔G,Moon,40.49,65.27,-90.68,Planetographic  +East  -180 - 180,Approved,已批准,2006,George; British mathematician (1815-1864).,乔治;英国数学家（1815-1864）。
Boole H,布尔H,Moon,82.4,61.73,-88.83,Planetographic  +East  -180 - 180,Approved,已批准,2006,George; British mathematician (1815-1864).,乔治;英国数学家（1815-1864）。
Boole R,布尔R,Moon,13.56,64.39,-78.25,Planetographic  +East  -180 - 180,Approved,已批准,2006,George; British mathematician (1815-1864).,乔治;英国数学家（1815-1864）。
Borda,边缘,Moon,45.4,-25.2,46.52,Planetographic  +East  -180 - 180,Approved,已批准,1935,Jean Charles de; French astronomer (1733-1799).,让·查尔斯·德；法国天文学家（1733-1799）。
Borda A,博达A,Moon,18.35,-26.87,50.8,Planetographic  +East  -180 - 180,Approved,已批准,2006,Jean Charles de; French astronomer (1733-1799).,让·查尔斯·德；法国天文学家（1733-1799）。
Borda D,博尔达D,Moon,5.37,-24.57,46.12,Planetographic  +East  -180 - 180,Approved,已批准,2006,Jean Charles de; French astronomer (1733-1799).,让·查尔斯·德；法国天文学家（1733-1799）。
Borda E,边缘E,Moon,11.95,-24.01,45.48,Planetographic  +East  -180 - 180,Approved,已批准,2006,Jean Charles de; French astronomer (1733-1799).,让·查尔斯·德；法国天文学家（1733-1799）。
Borda F,F板,Moon,9.96,-26.19,47.89,Planetographic  +East  -180 - 180,Approved,已批准,2006,Jean Charles de; French astronomer (1733-1799).,让·查尔斯·德；法国天文学家（1733-1799）。
Borda G,G板,Moon,6.55,-26.31,45.31,Planetographic  +East  -180 - 180,Approved,已批准,2006,Jean Charles de; French astronomer (1733-1799).,让·查尔斯·德；法国天文学家（1733-1799）。
Borda H,X板,Moon,10.84,-26.74,46.59,Planetographic  +East  -180 - 180,Approved,已批准,2006,Jean Charles de; French astronomer (1733-1799).,让·查尔斯·德；法国天文学家（1733-1799）。
Borda J,博达J,Moon,14.97,-27.02,46.97,Planetographic  +East  -180 - 180,Approved,已批准,2006,Jean Charles de; French astronomer (1733-1799).,让·查尔斯·德；法国天文学家（1733-1799）。
Borda K,博达（Borda K.）,Moon,12.33,-27.54,47.14,Planetographic  +East  -180 - 180,Approved,已批准,2006,Jean Charles de; French astronomer (1733-1799).,让·查尔斯·德；法国天文学家（1733-1799）。
Borda L,博达,Moon,12.65,-27.06,47.63,Planetographic  +East  -180 - 180,Approved,已批准,2006,Jean Charles de; French astronomer (1733-1799).,让·查尔斯·德；法国天文学家（1733-1799）。
Borda M,博达M,Moon,13.88,-25.43,43.91,Planetographic  +East  -180 - 180,Approved,已批准,2006,Jean Charles de; French astronomer (1733-1799).,让·查尔斯·德；法国天文学家（1733-1799）。
Borda R,边缘R,Moon,14.38,-27.43,50.53,Planetographic  +East  -180 - 180,Approved,已批准,2006,Jean Charles de; French astronomer (1733-1799).,让·查尔斯·德；法国天文学家（1733-1799）。
Borel,博雷尔,Moon,4.66,22.37,26.42,Planetographic  +East  -180 - 180,Approved,已批准,1976,Félix Édouard Émile; French mathematician (1871-1956).,FélixÉdouardÉmile;法国数学家（1871-1956）。
Boris,鲍里斯,Moon,1.73,30.53,-33.5,Planetographic  +East  -180 - 180,Approved,已批准,1979,Russian male name.,俄国男性名字。
